timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
8.68,0.00972,0.00067,-0.98949,0.01609,-0.01017,0.92934
8.78,0.02268,0.04221,-0.98754,-0.02128,0.00052,0.92593
8.87,0.02182,0.01143,-0.99235,-0.01612,-0.00315,1.005
8.97,0.01906,0.07074,-0.9839,0.01395,-0.00113,0.30965
9.08,-0.01045,-0.00941,-0.98473,0.00659,0.00975,0.02391
9.17,-0.006,-0.00479,-0.99093,6e-05,0.00956,0.01643
9.28,-0.00231,0.00646,-0.99127,-0.00018,0.0106,0.01351
9.37,-0.00593,0.00236,-0.98725,-0.00242,0.00949,0.01599
9.48,0.2256,0.02996,-0.99871,0.01241,0.13447,-0.05147
9.57,0.18901,-0.11685,-0.98004,-0.01338,-0.00778,0.0959
9.68,-0.08363,0.05782,-1.00771,-0.01974,-0.06396,0.09695
9.77,-0.02105,0.0011,-0.96501,-0.0064,0.03725,0.0358
9.88,0.13322,0.01517,-0.96176,0.01002,-0.03771,-0.00232
9.98,-0.12899,7e-05,-1.01092,-0.01555,-0.00351,-0.00999
10.08,0.09774,0.00756,-1.0077,0.01779,-0.02286,-0.01274
10.17,0.02604,0.00614,-0.97534,0.00308,0.03143,0.02436
10.28,-0.08374,0.01656,-1.00531,-0.00058,-0.01288,-0.00665
10.38,0.12594,0.00029,-0.94507,0.00277,0.01367,0.01825
10.48,-0.06619,0.06612,-1.02897,0.06488,-0.11228,-0.04514
10.58,0.01879,0.00917,-0.94963,-0.00576,0.05303,0.01164
10.68,0.07111,0.01322,-1.00901,0.02461,-0.05764,0.01833
10.78,-0.12638,-0.05455,-0.98338,-0.0205,0.01819,0.11755
10.88,-0.05553,0.03795,-0.97861,0.0158,0.02545,-0.02025
10.98,0.02392,-0.00806,-0.99038,0.02241,-0.03003,0.0211
11.08,-0.16658,0.02552,-0.98803,0.00806,-0.00184,-0.0245
11.18,-0.01041,-0.00523,-0.99553,-0.00415,0.01982,0.04044
11.28,-0.00711,0.00488,-0.98373,0.00219,0.00922,0.0229
11.38,-0.00907,0.00045,-0.99062,0.01259,0.00509,0.02653
11.48,-0.02438,-0.00077,-0.98967,-0.00137,0.01646,0.03081
11.58,-0.00517,0.00808,-0.98785,0.00181,0.01069,0.015
11.68,-0.12934,-0.24112,-0.99098,0.06084,-0.02178,0.7013
11.78,-0.04278,-0.0231,-0.98294,0.00031,0.01427,0.73752
11.88,-0.01167,-0.00325,-1.00144,0.01209,0.02803,0.90228
11.97,0.03806,-0.0266,-0.97866,0.00353,0.01588,0.87048
12.08,0.05228,0.01785,-0.99844,-0.02513,0.00074,0.89989
12.18,-0.03142,-0.04711,-0.96072,0.01857,0.00358,1.02207
12.28,-0.01829,0.00162,-1.00501,-0.0064,-0.00691,0.92819
12.38,0.02434,-0.01303,-0.99471,0.01974,0.00376,0.94755
12.48,0.01278,-0.02599,-0.97984,0.01033,-0.012,1.01031
12.58,0.00945,-0.0088,-1.00142,-0.00203,-0.0266,0.94192
12.68,0.01982,0.02438,-0.98426,0.00706,0.02911,0.93636
12.8,0.01599,0.03108,-0.99277,-0.00482,-0.00118,0.97781
12.9,-0.00852,-0.04575,-0.97614,0.01796,0.02097,0.99149
13.0,-0.00038,-0.00797,-0.97782,0.01152,-0.01306,1.00571
13.1,0.03624,0.00076,-0.99658,-0.01698,0.00514,0.9582
13.2,-0.00136,-0.03769,-0.98219,-0.00906,0.00388,1.00964
13.3,-0.00639,0.02104,-1.00042,0.024,-0.01589,0.87325
13.4,0.03141,0.03266,-0.98891,-0.00869,0.0048,0.51174
13.5,0.02843,0.07565,-0.98808,0.00773,0.00454,0.03162
13.6,0.01493,0.01624,-0.98939,0.00198,0.00697,0.0106
13.7,0.00303,0.00229,-0.99087,0.00549,0.00531,0.01651
13.8,-0.00947,0.00033,-0.99092,0.00301,0.00697,0.01562
13.89,0.00387,-0.00247,-0.98634,0.00373,0.0163,0.01411
14.0,0.30145,0.01479,-0.97663,-0.03922,0.04108,-0.19752
14.1,0.03707,0.09053,-0.96393,-0.0117,0.01685,0.12809
14.2,-0.12307,-0.00675,-0.98127,0.00205,0.04584,0.07442
14.3,0.17018,-0.01167,-0.94569,-0.01824,0.0113,0.03318
14.41,-0.10183,-0.00853,-0.99273,-0.00588,-0.04599,0.00979
14.5,0.02125,0.02342,-0.98293,0.01191,0.02778,-0.03776
14.6,0.10645,-0.00147,-0.98485,-0.001,-0.15148,-0.00448
14.7,-0.12751,-0.00821,-0.97769,-0.00675,0.00908,-0.0139
14.8,0.09836,-0.00031,-0.97702,0.00305,0.04018,0.03326
14.9,0.02632,0.01529,-0.99766,-0.02615,-0.01968,-0.02501
15.0,-0.08723,-0.0288,-0.9964,0.00919,-0.00837,0.0875
15.1,0.10708,-0.01694,-0.98533,-0.02755,-0.0044,0.03975
15.2,-0.02577,0.03204,-0.89363,0.161,0.07651,-0.04526
15.3,-0.0321,-0.00458,-1.00651,-0.01837,0.00734,0.034
15.4,0.02666,-0.00903,-1.02049,-0.0119,0.0065,0.0433
15.5,-0.23131,0.01522,-1.00537,-0.00884,-0.00861,0.00949
15.6,0.11916,-0.03997,-1.00363,0.02246,0.02279,0.04315
15.7,-0.1275,0.03781,-1.00699,-0.01347,-0.02498,-0.01146
15.8,-0.00226,-0.02381,-1.01063,-0.00416,-0.00348,0.03123
15.9,-0.01283,-0.01271,-0.99331,0.00097,0.00905,0.04375
16.0,-0.02106,-0.00706,-0.98052,0.00841,0.00704,0.03467
16.1,-0.00416,-0.00311,-0.98961,0.0018,0.01417,0.0248
16.2,-0.0087,0.00535,-0.98929,-0.00245,0.01095,0.01335
16.3,-0.10916,-0.19055,-0.99146,0.04196,-0.0369,0.57496
16.39,-0.04648,0.00692,-0.99099,-0.01947,-0.00593,0.66206
16.5,-0.00321,0.0005,-0.99404,0.00178,0.00975,0.94622
16.6,0.04842,-0.01427,-0.9921,-0.01895,0.00589,0.91627
16.7,0.0633,-0.01307,-0.99587,-0.03089,-0.00321,0.93836
16.8,-0.01942,-0.0359,-0.97708,-0.00453,0.00819,0.94795
16.9,-0.04844,0.04001,-1.00431,0.01723,-0.02348,0.88829
17.0,0.02346,0.00236,-0.97876,0.00602,0.00981,0.94229
17.1,0.03848,-0.00259,-0.99568,0.00146,-0.0067,0.96507
17.2,0.02192,0.01406,-0.99348,0.02114,-0.00573,0.99932
17.3,-0.02074,-0.01749,-0.98517,0.01718,0.00703,0.95566
17.4,0.00556,0.0099,-0.99193,0.01684,0.01423,0.93603
17.5,0.01055,-0.02387,-0.98567,0.00449,0.01159,0.97778
17.6,0.01904,0.06569,-1.00665,0.02318,-0.03831,0.92986
17.7,0.03792,0.03322,-0.99541,0.00175,0.01044,0.90062
17.8,0.0038,-0.03691,-0.98243,-0.02303,-0.00477,1.02453
17.9,-0.02552,-0.06742,-0.97976,-0.00528,0.00535,1.0626
18.0,0.02472,0.04101,-0.98468,-0.01457,0.00915,0.58065
18.1,0.01045,0.0971,-0.98793,-0.0029,0.01463,-0.00273
18.2,0.00275,-0.01874,-0.98904,0.00547,0.0117,0.02275
18.3,0.01079,-0.00054,-0.98906,0.00611,0.00462,0.02208
