timestamp,speed,angle,esc_timestamp,state
2.28,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.38,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.48,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.54,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.58,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.64,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.68,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.78,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.84,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.88,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.94,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
2.98,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
