timestamp,static_flag,up_hill,down_hill,on_slope,pick_up,slip_flag,impact_x,impact_y,impact_z,roll_over,hill_static
11.42,0,0,0,0,0,0,0,0,0,0,0
11.52,0,0,0,0,0,0,0,0,0,0,0
11.62,0,0,0,0,0,0,0,0,0,0,0
11.72,0,0,0,0,0,0,0,0,0,0,0
11.83,0,0,0,0,0,0,0,0,0,0,0
11.93,0,0,0,0,0,0,0,0,0,0,0
12.03,0,0,0,0,0,0,0,0,0,0,0
12.12,0,0,0,0,0,0,0,0,0,0,0
12.22,0,0,0,0,0,0,0,0,0,0,0
12.33,0,0,0,0,0,0,0,0,0,0,0
12.42,0,0,0,0,0,0,0,0,0,0,0
12.52,0,0,0,0,0,0,0,0,0,0,0
12.62,0,0,0,0,0,0,0,0,0,0,0
12.72,0,0,0,0,0,0,0,0,0,0,0
12.83,0,0,0,0,0,0,0,0,0,0,0
12.92,0,0,0,0,0,0,0,0,0,0,0
13.03,0,0,0,0,0,0,0,0,0,0,0
13.13,0,0,0,0,0,0,0,0,0,0,0
13.23,0,0,0,0,0,0,0,0,0,0,0
13.32,0,0,0,0,0,0,0,0,0,0,0
13.43,0,0,0,0,0,0,0,0,0,0,0
13.52,0,0,0,0,0,0,0,0,0,0,0
13.63,1,0,0,0,0,0,0,0,0,0,0
13.72,0,0,0,0,0,0,0,0,0,0,0
13.82,0,0,0,0,0,0,0,0,0,0,0
13.93,0,0,0,0,0,0,0,0,0,0,0
14.02,0,0,0,0,0,0,0,0,0,0,0
14.13,0,0,0,0,0,0,0,0,0,0,0
14.22,0,0,0,0,0,0,0,0,0,0,0
14.32,0,0,0,0,0,0,0,0,0,0,0
14.42,0,0,0,0,0,0,0,0,0,0,0
14.53,0,0,0,0,0,0,0,0,0,0,0
14.63,0,0,0,0,0,0,0,0,0,0,0
14.72,0,0,0,0,0,0,0,0,0,0,0
14.83,0,0,0,0,0,0,0,0,0,0,0
14.92,0,0,0,0,0,0,0,0,0,0,0
15.02,0,0,0,0,0,0,0,0,0,0,0
15.14,0,0,0,0,0,0,0,0,0,0,0
15.25,0,0,0,0,0,0,0,0,0,0,0
15.34,0,0,0,0,0,0,0,0,0,0,0
15.44,0,0,0,0,0,0,0,0,0,0,0
15.55,0,0,0,0,0,0,0,0,0,0,0
15.64,0,0,0,0,0,0,0,0,0,0,0
15.75,0,0,0,0,0,0,0,0,0,0,0
15.85,0,0,0,0,0,0,0,0,0,0,0
15.95,0,0,0,0,0,0,0,0,0,0,0
16.04,0,0,0,0,0,0,0,0,0,0,0
16.15,0,0,0,0,0,0,0,0,0,0,0
16.24,0,0,0,0,0,0,0,0,0,0,0
16.34,0,0,0,0,0,0,0,0,0,0,0
16.45,0,0,0,0,0,0,0,0,0,0,0
16.55,0,0,0,0,0,0,0,0,0,0,0
16.64,0,0,0,0,0,0,0,0,0,0,0
16.74,0,0,0,0,0,0,0,0,0,0,0
16.84,0,0,0,0,0,0,0,0,0,0,0
16.94,0,0,0,0,0,0,0,0,0,0,0
17.04,0,0,0,0,0,0,0,0,0,0,0
17.15,0,0,0,0,0,0,0,0,0,0,0
17.24,0,0,0,0,0,0,0,0,0,0,0
17.35,0,0,0,0,0,0,0,0,0,0,0
17.44,0,0,0,0,0,0,0,0,0,0,0
17.55,0,0,0,0,0,0,0,0,0,0,0
17.64,0,0,0,0,0,0,0,0,0,0,0
17.74,0,0,0,0,0,0,0,0,0,0,0
17.85,0,0,0,0,0,0,0,0,0,0,0
17.95,0,0,0,0,0,0,0,0,0,0,0
18.04,0,0,0,0,0,0,0,0,0,0,0
18.15,0,0,0,0,0,0,0,0,0,0,0
18.24,0,0,0,0,0,0,0,0,0,0,0
18.34,0,0,0,0,0,0,0,0,0,0,0
18.44,0,0,0,0,0,0,0,0,0,0,0
18.54,0,0,0,0,0,0,0,0,0,0,0
18.65,0,0,0,0,0,0,0,0,0,0,0
18.74,0,0,0,0,0,0,0,0,0,0,0
18.84,0,0,0,0,0,0,0,0,0,0,0
18.95,0,0,0,0,0,0,0,0,0,0,0
19.04,0,0,0,0,0,0,0,0,0,0,0
19.14,0,0,0,0,0,0,0,0,0,0,0
19.24,0,0,0,0,0,0,0,0,0,0,0
19.34,0,0,0,0,0,0,0,0,0,0,0
19.44,0,0,0,0,0,0,0,0,0,0,0
19.54,0,0,0,0,0,0,0,0,0,0,0
19.64,0,0,0,0,0,0,0,0,0,0,0
19.74,0,0,0,0,0,0,0,0,0,0,0
19.84,0,0,0,0,0,0,0,0,0,0,0
19.94,0,0,0,0,0,0,0,0,0,0,0
20.05,0,0,0,0,0,0,0,0,0,0,0
20.14,0,0,0,0,0,0,0,0,0,0,0
20.26,0,0,0,0,0,0,0,0,0,0,0
20.37,0,0,0,0,0,0,0,0,0,0,0
20.47,0,0,0,0,0,0,0,0,0,0,0
20.57,0,0,0,0,0,0,0,0,0,0,0
20.67,0,0,0,0,0,0,0,0,0,0,0
20.77,0,0,0,0,0,0,0,0,0,0,0
20.86,0,0,0,0,0,0,0,0,0,0,0
20.97,0,0,0,0,0,0,0,0,0,0,0
21.06,0,0,0,0,0,0,0,0,0,0,0
21.17,0,0,0,0,0,0,0,0,0,0,0
21.27,0,0,0,0,0,0,0,0,0,0,0
21.37,0,0,0,0,0,0,0,0,0,0,0
