timestamp,acc_x,acc_y,acc_z
15.42,0.03532,0.01125,-0.9637
15.52,0.02595,-0.00778,-0.99139
15.62,-0.26597,-0.00734,-0.97396
15.72,-0.00474,0.02711,-0.98723
15.82,-0.02202,-0.00756,-0.98417
15.92,-0.01152,0.00095,-0.98674
16.02,-0.01325,-0.0023,-0.98787
16.12,-0.02771,0.00189,-0.98479
16.22,-0.06241,-0.13328,-0.98363
16.32,-0.05279,-0.04075,-0.97445
16.42,0.01826,-0.01923,-0.99744
16.52,0.06581,0.0585,-1.00115
16.62,0.03491,0.05604,-1.00525
16.72,-0.01455,-0.02579,-0.9796
16.82,-0.01036,-0.03072,-0.99709
16.92,0.01555,-0.00614,-0.98535
17.02,0.03287,0.0249,-0.99874
17.12,0.02198,0.00209,-0.97412
17.24,-0.01011,-0.033,-0.97379
17.34,-0.0176,0.01919,-0.99003
17.44,0.017,0.00034,-0.9715
17.54,0.03752,-0.00183,-0.98012
17.64,-0.01443,-0.08027,-0.97107
17.74,0.00663,-0.01282,-0.99868
17.84,0.03026,0.03859,-0.99319
17.94,0.01576,0.05779,-0.98874
18.04,0.00946,-0.00371,-0.9899
18.14,0.00817,-0.00135,-0.98986
18.24,0.00452,0.00735,-0.99038
