timestamp,yaw,pitch,tof1,tof2,tof3,tof4
2025-07-15 10:54:25.035,-90,0,186,0,0,0
2025-07-15 10:54:25.055,-90,0,186,0,0,0
2025-07-15 10:54:25.075,-90,0,187,0,0,0
2025-07-15 10:54:25.094,-90,0,187,0,0,0
2025-07-15 10:54:25.114,-90,0,186,0,0,0
2025-07-15 10:54:25.134,-90,0,186,0,0,0
2025-07-15 10:54:25.154,-90,0,186,0,0,0
2025-07-15 10:54:25.174,-90,0,187,0,0,0
2025-07-15 10:54:25.194,-90,0,187,0,0,0
2025-07-15 10:54:25.214,-90,0,187,0,0,0
2025-07-15 10:54:25.234,-90,0,187,0,0,0
2025-07-15 10:54:25.255,-90,0,187,0,0,0
2025-07-15 10:54:25.274,-90,0,187,0,0,0
2025-07-15 10:54:25.296,-90,0,187,0,0,0
2025-07-15 10:54:25.314,-90,0,187,0,0,0
2025-07-15 10:54:25.334,-90,0,187,0,0,0
2025-07-15 10:54:25.355,-90,0,187,0,0,0
2025-07-15 10:54:25.374,-90,0,187,0,0,0
2025-07-15 10:54:25.394,-90,0,187,0,0,0
2025-07-15 10:54:25.415,-90,0,187,0,0,0
2025-07-15 10:54:25.434,-90,0,187,0,0,0
2025-07-15 10:54:25.454,-90,0,187,0,0,0
2025-07-15 10:54:25.474,-90,0,186,0,0,0
2025-07-15 10:54:25.494,-90,0,186,0,0,0
2025-07-15 10:54:25.514,-90,0,186,0,0,0
2025-07-15 10:54:25.534,-90,0,186,0,0,0
2025-07-15 10:54:25.554,-90,0,186,0,0,0
2025-07-15 10:54:25.574,-90,0,187,0,0,0
2025-07-15 10:54:25.595,-90,0,187,0,0,0
2025-07-15 10:54:25.614,-90,0,187,0,0,0
2025-07-15 10:54:25.634,-90,0,187,0,0,0
2025-07-15 10:54:25.654,-90,0,187,0,0,0
2025-07-15 10:54:25.674,-90,0,187,0,0,0
2025-07-15 10:54:25.694,-90,0,187,0,0,0
2025-07-15 10:54:25.715,-90,0,186,0,0,0
2025-07-15 10:54:25.734,-90,0,186,0,0,0
2025-07-15 10:54:25.754,-90,0,186,0,0,0
2025-07-15 10:54:25.774,-90,0,187,0,0,0
2025-07-15 10:54:25.794,-90,0,187,0,0,0
2025-07-15 10:54:25.814,-90,0,187,0,0,0
2025-07-15 10:54:25.836,-90,0,187,0,0,0
2025-07-15 10:54:25.854,-90,0,187,0,0,0
2025-07-15 10:54:25.874,-90,0,188,0,0,0
2025-07-15 10:54:25.895,-90,0,188,0,0,0
2025-07-15 10:54:25.914,-90,0,186,0,0,0
2025-07-15 10:54:25.934,-90,0,186,0,0,0
2025-07-15 10:54:25.955,-90,0,187,0,0,0
